university,admission_count
0.0,0.0
39.0,4052.0
29.0,3455.0
0.0,0.0
0.0,0.0
0.0,0.0
51.0,5692.0
52.0,6341.0
0.0,0.0
0.0,0.0
0.0,0.0
54.0,4840.0
76.0,8738.0
0.0,0.0
0.0,0.0
