university,year,score_line,avg_score,score_diff,stu_count,stu_ranking
首都医科大学,2011,573,651,78,0.0,0.0
首都医科大学,2012,546,608,62,0.0,0.0
首都医科大学,2014,506,616,110,138.0,3572.0
首都医科大学,2015,525,615,90,218.0,5924.0
青海大学,2011,573,586,13,0.0,0.0
青海大学,2015,525,561,36,388.0,22101.0
青岛理工大学,2011,573,594,21,0.0,0.0
青岛理工大学,2013,501,546,45,357.0,17341.0
青岛理工大学,2014,506,550,44,349.0,20354.0
青岛理工大学,2015,525,564,39,337.0,21035.0
青岛大学,2013,501,549,48,342.0,16250.0
青岛大学,2015,525,566,41,369.0,20347.0
集美大学,2013,501,542,41,360.0,18768.0
集美大学,2014,506,549,43,369.0,20723.0
集美大学,2015,525,566,41,369.0,20347.0
陕西师范大学,2011,573,593,20,0.0,0.0
陕西师范大学,2013,501,542,41,360.0,18768.0
陕西师范大学,2015,525,584,59,300.0,14202.0
长春理工大学,2012,546,559,13,0.0,0.0
长春理工大学,2014,506,531,25,397.0,27527.0
长春理工大学,2015,525,556,31,351.0,24003.0
长安大学,2013,501,559,58,308.0,13033.0
长安大学,2014,506,582,76,247.0,10401.0
长安大学,2015,525,598,73,271.0,10068.0
重庆邮电大学,2015,525,578,53,337.0,16100.0
重庆医科大学,2011,573,621,48,0.0,0.0
重庆医科大学,2012,546,595,49,0.0,0.0
重庆医科大学,2013,501,561,60,320.0,12432.0
重庆医科大学,2014,506,591,85,213.0,8255.0
重庆医科大学,2015,525,605,80,233.0,8191.0
重庆交通大学,2015,525,570,45,362.0,18860.0
郑州大学,2013,501,562,61,315.0,12112.0
郑州大学,2014,506,576,70,301.0,12074.0
郑州大学,2015,525,593,68,295.0,11477.0
贵州大学,2011,573,594,21,0.0,0.0
贵州大学,2013,501,548,47,361.0,16611.0
贵州大学,2015,525,582,57,294.0,14798.0
西安邮电大学,2011,573,593,20,0.0,0.0
西安邮电大学,2013,501,546,45,357.0,17341.0
西安邮电大学,2015,525,567,42,377.0,19978.0
