,university,year,major,avg_major_score,stu_count,stu_ranking,score_line,avg_score,score_diff
600,福州大学,2013,信息管理与信息系统,573,225.0,9082.0,501.0,567.0,66.0
604,福州大学,2013,信息安全,575,249.0,8631.0,501.0,567.0,66.0
622,电子科技大学,2015,电气类,609,226.0,7236.0,,,
647,燕山大学,2015,电气工程及其自动化,582,294.0,14798.0,525.0,580.0,55.0
652,燕山大学,2015,机械设计制造及其自动化,583,302.0,14504.0,525.0,580.0,55.0
722,湖南师范大学,2015,软件工程,590,281.0,12346.0,525.0,590.0,65.0
724,湖南师范大学,2013,机械设计制造及其自动化,556,339.0,14006.0,501.0,553.0,52.0
747,湖南大学,2013,机械设计制造及其自动化,591,183.0,5318.0,,,
782,深圳大学,2015,计算机科学与技术,614,213.0,6137.0,525.0,609.0,84.0
784,深圳大学,2015,电子科学与技术,612,208.0,6570.0,525.0,609.0,84.0
785,深圳大学,2015,电子商务,609,226.0,7236.0,525.0,609.0,84.0
787,深圳大学,2015,电子信息工程,609,226.0,7236.0,525.0,609.0,84.0
798,海南大学,2014,通信工程,572,319.0,13261.0,,,
801,海南大学,2014,计算机科学与技术,571,304.0,13565.0,,,
802,海南大学,2013,自动化,555,316.0,14322.0,,,
803,海南大学,2014,自动化,570,309.0,13874.0,,,
806,海南大学,2013,电气工程及其自动化,558,329.0,13362.0,,,
807,海南大学,2014,电气工程及其自动化,582,247.0,10401.0,,,
808,海南大学,2015,电子信息类(电子信息工...,585,297.0,13902.0,,,
810,海南大学,2014,电子信息工程,569,284.0,14158.0,,,
812,海南大学,2013,机械设计制造及其自动化,556,339.0,14006.0,,,
813,海南大学,2014,机械设计制造及其自动化,569,284.0,14158.0,,,
821,海南大学,2015,农业机械化及其自动化,582,294.0,14798.0,,,
826,海南大学,2014,信息安全,567,312.0,14766.0,,,
828,海南大学,2014,信息与计算科学,570,309.0,13874.0,,,
842,浙江工商大学,2013,计算机类,559,308.0,13033.0,501.0,561.0,60.0
846,浙江工商大学,2015,电子商务类,595,297.0,10944.0,525.0,594.0,69.0
849,浙江工业大学,2013,电气类,561,320.0,12432.0,501.0,557.0,56.0
871,河海大学,2013,通信工程,585,195.0,6402.0,501.0,583.0,82.0
872,河海大学,2015,通信工程,608,226.0,7462.0,525.0,608.0,83.0
875,河海大学,2015,自动化,608,226.0,7462.0,525.0,608.0,83.0
877,河海大学,2015,电气工程及其自动化,602,265.0,8974.0,525.0,608.0,83.0
879,河海大学,2015,电子科学与技术,602,265.0,8974.0,525.0,608.0,83.0
881,河海大学,2013,电子信息工程,585,195.0,6402.0,501.0,583.0,82.0
885,河海大学,2013,地理信息科学,586,186.0,6207.0,501.0,583.0,82.0
886,河海大学,2015,地理信息科学,602,265.0,8974.0,525.0,608.0,83.0
962,江西财经大学,2015,计算机类,593,295.0,11477.0,,,
963,江西财经大学,2015,电子商务类,597,296.0,10364.0,,,
964,江西财经大学,2015,电子信息类,596,283.0,10647.0,,,
965,江西财经大学,2013,信息管理与信息系统,570,263.0,9895.0,,,
966,江西财经大学,2013,信息与计算科学,564,267.0,11529.0,,,
1006,江苏大学,2013,软件工程,560,293.0,12725.0,501.0,552.0,51.0
1009,江苏大学,2015,自动化,590,281.0,12346.0,525.0,584.0,59.0
1013,江苏大学,2015,机械设计制造及其自动化,590,281.0,12346.0,525.0,584.0,59.0
1015,江苏大学,2013,机械电子工程,560,293.0,12725.0,501.0,552.0,51.0
1022,江南大学,2015,通信工程,603,271.0,8709.0,525.0,603.0,78.0
1024,江南大学,2015,自动化,603,271.0,8709.0,525.0,603.0,78.0
1026,江南大学,2015,电气工程及其自动化,605,233.0,8191.0,525.0,603.0,78.0
1028,江南大学,2015,机械电子工程,603,271.0,8709.0,525.0,603.0,78.0
1030,江南大学,2015,微电子科学与工程,602,265.0,8974.0,525.0,603.0,78.0
1032,汕头大学,2014,通信工程专业,568,296.0,14454.0,506.0,572.0,66.0
1033,汕头大学,2015,通信工程,592,299.0,11776.0,525.0,591.0,66.0
1036,汕头大学,2013,机械设计制造及其自动化...,553,320.0,14940.0,501.0,557.0,56.0
1037,汕头大学,2014,机械设计制造及其自动化...,576,301.0,12074.0,506.0,572.0,66.0
1039,汕头大学,2015,机械设计制造及其自动化,590,281.0,12346.0,525.0,591.0,66.0
1054,武汉理工大学,2013,计算机类,564,267.0,11529.0,,,
1056,武汉理工大学,2015,自动化类,613,225.0,6362.0,525.0,611.0,86.0
1062,武汉理工大学,2013,电子信息类,577,217.0,8149.0,,,
1063,武汉理工大学,2015,电子信息类,610,218.0,7010.0,525.0,611.0,86.0
1065,武汉理工大学,2013,机械设计制造及其自动化,589,183.0,5663.0,,,
1066,武汉理工大学,2015,机械设计制造及其自动化,612,208.0,6570.0,525.0,611.0,86.0
1120,杭州电子科技大学,2013,通信工程,563,268.0,11797.0,,,
1121,杭州电子科技大学,2015,软件工程,590,281.0,12346.0,,,
1122,杭州电子科技大学,2015,计算机科学与技术,589,293.0,12639.0,,,
1124,杭州电子科技大学,2015,电子信息类,583,302.0,14504.0,,,
1126,杭州电子科技大学,2015,电子信息工程,590,281.0,12346.0,,,
1129,杭州电子科技大学,2015,机械设计制造及其自动化,583,302.0,14504.0,,,
1135,杭州电子科技大学,2013,信息工程,556,339.0,14006.0,,,
1194,广州大学,2013,电气工程及其自动化,562,315.0,12112.0,501.0,564.0,63.0
1197,广州大学,2015,机械设计制造及其自动化,589,293.0,12639.0,525.0,585.0,60.0
1199,广州大学,2013,地理信息科学,561,320.0,12432.0,501.0,564.0,63.0
1210,广东工业大学,2014,自动化(卓越工程师班),571,304.0,13565.0,,,
